ID externe,ID,Référence interne,Nom,Quantité en stock,Catégorie de produits/Nom,Fournisseurs,Prix d'achat,Prix de vente
__export__.product_template_20368_8b628a62,20368,EPI0019,NUTMEG GROUND - 100ML MUSCADE MOULUE - 100ML,0.00,Dry Goods,SORIPA GASTRONOMIE,7.94,6.08
__export__.product_template_23214_770f7423,23214,EPI0144,NUTMEG GROUND - 330ML MUSCADE MOULUE - 330ML,0.00,Dry Goods,KEREX (TERRE EXOTIQUE),9.43,16.11
__export__.product_template_22631_5f1ecfa0,22631,BIO082,NUTMEG GROUND ORGANIC - 35G NOIX MUSCADE POUDRE BIO - 35G,0.00,Dry Goods,KEREX (TERRE EXOTIQUE),4.90,0.00
__export__.product_template_20359_030d1387,20359,EPI0018,NUTMEG WHOLE - 100ML NOIX DE MUSCADE ENTIERE - 100ML,0.00,Dry Goods,SORIPA GASTRONOMIE,7.94,15.88
__export__.product_template_23215_86bc3b06,23215,EPI0145,NUTMEG WHOLE - 330ML NOIX DE MUSCADE ENTIERE - 330ML,0.00,Dry Goods,KEREX (TERRE EXOTIQUE),14.42,24.60
__export__.product_template_22632_4845ac51,22632,BIO083,NUTMEG WHOLE ORGANIC NOIX DE MUSCADE BIO ,0.00,Dry Goods,KEREX (TERRE EXOTIQUE),5.50,0.00
__export__.product_template_25175_3f638635,25175,,Nature Valley â€“ Choco flavour (box of 5),0.00,All,,0.00,5.59
__export__.product_template_25174_c1514c49,25174,,Nature Valley â€“ salted caramel (box of 5),0.00,All,CARREFOUR,2.99,5.98
__export__.product_template_28493_e4663ed9,28493,,O-TORO TUNA LINE CAUGHT VENTRECHE THON O-TORO PECHE LIGNE,0.00,All,,0.00,0.00
__export__.product_template_21148_ddc8cad7,21148,ICE0050,OASIS ICE POPS X BOX OASIS GLACE POPS X BOÃŽTE,0.00,Frozen,CARREFOUR,2.69,5.12
__export__.product_template_23269_0edf9726,23269,SWT0136,OAT AND HONEY CRUNCHY  5x42GR CROQUANT AVOINE ET MIEL 5x42GR,0.00,Dry Goods,METRO,3.49,5.97
